fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,399,1036,134,0.6967418546365914,0.5895576200899791,0.7090543146471066,0.5611073708899796,0.642774372282569,0.664179104477612,0.5359310663297374,0.6662140432408693,0.5375816993464052,0.5385188087774295,0.664179104477612,0.5359310663297374,0.6662140432408693,0.5375816993464052,0.5385188087774295
2,400,1036,133,0.65,0.5243489164612141,0.6627813471433166,0.504214545592987,0.6019582894582894,0.6466165413533834,0.5264464481024991,0.6716263734031083,0.5070436507936508,0.6752873563218391,0.6466165413533834,0.5264464481024991,0.6716263734031083,0.5070436507936508,0.6752873563218391
3,400,1040,133,0.6625,0.598871132882644,0.6717128298685654,0.5602399843972878,0.6762024860385516,0.6541353383458647,0.5049107142857143,0.6731919083422843,0.4890616140616141,0.545639534883721,0.6541353383458647,0.5049107142857143,0.6731919083422843,0.4890616140616141,0.545639534883721
4,400,1040,133,0.635,0.5425586059373583,0.6532034760660623,0.507996274501503,0.6517068996577193,0.6541353383458647,0.5364632865285521,0.6649854632665727,0.5115151515151515,0.583139534883721,0.6541353383458647,0.5364632865285521,0.6649854632665727,0.5115151515151515,0.583139534883721
