fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,562,1236,188,0.40391459074733094,0.3740489008798147,0.42193144864660054,0.4088648216098006,0.4615907134262717,0.35106382978723405,0.2971801480306635,0.3804778094611391,0.32749174513880397,0.3274336683053788,0.35106382978723405,0.2971801480306635,0.3804778094611391,0.32749174513880397,0.3274336683053788
2,562,1240,188,0.41637010676156583,0.36450474624662255,0.43176669876190793,0.4119788106630212,0.43636332035595105,0.3776595744680851,0.30973630831643006,0.3857904276897847,0.3683381295321594,0.361671601052669,0.3776595744680851,0.30973630831643006,0.3857904276897847,0.3683381295321594,0.361671601052669
3,563,1240,187,0.4493783303730018,0.3792675178497669,0.45905662675642933,0.39373543100335584,0.4310668838230373,0.34759358288770054,0.27425325682382135,0.36504841695306595,0.29222222222222227,0.29465008090614886,0.34759358288770054,0.27425325682382135,0.36504841695306595,0.29222222222222227,0.29465008090614886
4,563,1240,187,0.3268206039076377,0.2961166151672548,0.3347070767620166,0.3417491181095669,0.3685369697134124,0.3422459893048128,0.2959731411749575,0.3530153605092094,0.34909774436090224,0.3614773929549415,0.3422459893048128,0.2959731411749575,0.3530153605092094,0.34909774436090224,0.3614773929549415
