split,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
train_final,0.628,0.5680322289600366,0.6367663035593388,0.5562445199277445,0.6010069898710806
test,0.376,0.2773555622522247,0.3748086460861223,0.27751481867051875,0.29027351177417
