fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,3380,9584,1516,0.5387573964497041,0.3914503469044882,0.580300902804605,0.3808834106367817,0.48498623750161596,0.4492084432717678,0.3420019164615308,0.49898658038397903,0.3588435350991318,0.46355029161631706,0.4492084432717678,0.3420019164615308,0.49898658038397903,0.3588435350991318,0.46355029161631706
2,3605,10296,1291,0.5192787794729542,0.3979623393383889,0.5681982906412514,0.39412355535975807,0.5317294592689196,0.5089078233927188,0.3856045326875589,0.5478881143321496,0.3822735517720454,0.43008496406484464,0.5089078233927188,0.3856045326875589,0.5478881143321496,0.3822735517720454,0.43008496406484464
3,2807,7888,2089,0.51193444959031,0.38808822482674565,0.5597537791749012,0.385269092961284,0.508734453757997,0.5332695069411202,0.3138893580904466,0.5761258268355667,0.3339245676017836,0.39633922285600787,0.5332695069411202,0.3138893580904466,0.5761258268355667,0.3339245676017836,0.39633922285600787
