split,metric,iteration,mean,std
learn,MultiClass,1,1.345984067353281,0.007286671684890496
learn,MultiClass,2,1.3124654231196162,0.008101655046754168
learn,MultiClass,3,1.2831005654240442,0.01193489315495217
learn,MultiClass,4,1.2608375601343078,0.014882829018550474
learn,MultiClass,5,1.2382267343420197,0.01794197627053615
learn,MultiClass,6,1.2210125288734233,0.023021568722740596
learn,MultiClass,7,1.2011347135195851,0.027684365150669847
learn,MultiClass,8,1.1840341814613484,0.03191963382264228
learn,MultiClass,9,1.1666999049500228,0.03623954448656548
learn,MultiClass,10,1.1536172174398551,0.03950477660567879
learn,MultiClass,11,1.1395054581840556,0.04051794956784624
learn,MultiClass,12,1.1290523933697934,0.044754730095758234
learn,MultiClass,13,1.1186370879432177,0.047632886091900035
learn,MultiClass,14,1.109846293146322,0.04964434582373975
learn,MultiClass,15,1.0989316321045743,0.04973696790019985
learn,MultiClass,16,1.089746342999538,0.052382820532875254
learn,MultiClass,17,1.0815289831870039,0.050579202578569196
learn,MultiClass,18,1.075247242355027,0.0517658126532356
learn,MultiClass,19,1.0687943866268137,0.05326402102967265
learn,MultiClass,20,1.0621466631204193,0.054458904296771346
learn,MultiClass,21,1.055753234607478,0.05621116899141264
learn,MultiClass,22,1.0497265436528764,0.05637181526725558
learn,MultiClass,23,1.0444389417122482,0.05733681868211186
learn,MultiClass,24,1.039543289564103,0.05767219251279467
learn,MultiClass,25,1.0344266905716641,0.059156810055769476
learn,MultiClass,26,1.0288767579560099,0.059525466528919754
learn,MultiClass,27,1.02184674775109,0.05794828568638682
learn,MultiClass,28,1.0174373435712791,0.05961161381131759
learn,MultiClass,29,1.0122813173772949,0.060805008308058385
learn,MultiClass,30,1.006672060044232,0.059259586159621236
learn,MultiClass,31,1.003507286999454,0.058638310140124904
learn,MultiClass,32,0.9990821047392286,0.05937481082328532
learn,MultiClass,33,0.9937323276896347,0.056646566385233715
learn,MultiClass,34,0.9880767057384731,0.055765513263233424
learn,MultiClass,35,0.9843317159609948,0.05532134099932245
learn,MultiClass,36,0.9811593984623153,0.056003342483250576
learn,MultiClass,37,0.9770308658484235,0.05605578336938627
learn,MultiClass,38,0.974414734567954,0.05528298797091636
learn,MultiClass,39,0.9712684597417167,0.055057938581342586
learn,MultiClass,40,0.9673209126823896,0.054167982699198175
learn,MultiClass,41,0.963782583155065,0.05572260833360151
learn,MultiClass,42,0.9612648188426169,0.05625420518261593
learn,MultiClass,43,0.958017086715381,0.05574062065950159
learn,MultiClass,44,0.9550295082226254,0.055754311433216325
learn,MultiClass,45,0.9512517700368739,0.056385012983715406
learn,MultiClass,46,0.9490591693126551,0.05627260507327333
