fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,399,960,134,0.5488721804511278,0.46743685031329596,0.5716843228673893,0.4550890867879818,0.5292542016806723,0.44776119402985076,0.3676109179560901,0.47647157381607996,0.37224194987194614,0.41353383458646614,0.44776119402985076,0.3676109179560901,0.47647157381607996,0.37224194987194614,0.41353383458646614
2,400,960,133,0.5325,0.45422124869445646,0.5595034273062064,0.4503379169424042,0.508860846970367,0.41353383458646614,0.3522750772294416,0.4406814542035602,0.34812017900253195,0.4199953007518797,0.41353383458646614,0.3522750772294416,0.4406814542035602,0.34812017900253195,0.4199953007518797
3,400,960,133,0.535,0.4325762576494102,0.5519237590993252,0.41968430511075616,0.4655793896505971,0.45112781954887216,0.3456003698961445,0.47619197374571726,0.34290276628986305,0.3854714912280701,0.45112781954887216,0.3456003698961445,0.47619197374571726,0.34290276628986305,0.3854714912280701
4,400,960,133,0.465,0.40977969263495173,0.4924049763258702,0.4071779057017544,0.4855576441102757,0.40601503759398494,0.3453805774278215,0.4388104118564127,0.3610398620805651,0.3583692528735632,0.40601503759398494,0.3453805774278215,0.4388104118564127,0.3610398620805651,0.3583692528735632
