split,metric,iteration,mean,std
learn,MultiClass,1,1.3769005211600889,0.0009118108530772505
learn,MultiClass,2,1.3674237396625861,0.0017603556348455254
learn,MultiClass,3,1.3582693708387756,0.002538093361935642
learn,MultiClass,4,1.3488631088263858,0.0035409440123609828
learn,MultiClass,5,1.3411112096480773,0.004628941736978914
learn,MultiClass,6,1.3323585118575183,0.005176989763013807
learn,MultiClass,7,1.3246825199493029,0.0059224721642685985
learn,MultiClass,8,1.3164697785053376,0.005448054168997462
learn,MultiClass,9,1.3091263810521796,0.0063105823186860935
learn,MultiClass,10,1.3017529802811765,0.006384125372877508
learn,MultiClass,11,1.2937130564410189,0.006578443857751015
learn,MultiClass,12,1.2867419923880536,0.00701666800631461
learn,MultiClass,13,1.2791652635142157,0.008472642614924671
learn,MultiClass,14,1.2720292089448797,0.009038523158259787
learn,MultiClass,15,1.265637270939679,0.00922960531590619
learn,MultiClass,16,1.2589493783487307,0.009585139575725958
learn,MultiClass,17,1.251722293856728,0.009737373059344
learn,MultiClass,18,1.245762933860433,0.010108037669554726
learn,MultiClass,19,1.239934777872211,0.01004920345336748
learn,MultiClass,20,1.2350584328757004,0.009930388529239272
learn,MultiClass,21,1.2294515999669624,0.01044300689667926
learn,MultiClass,22,1.2244282975830134,0.01048540817575404
learn,MultiClass,23,1.218771219355196,0.010397993438443139
learn,MultiClass,24,1.2136980034027256,0.010214765647200369
learn,MultiClass,25,1.2080009655873405,0.010497516261040335
learn,MultiClass,26,1.2024397777579758,0.012042596961851093
learn,MultiClass,27,1.1972909991918579,0.01268970533583926
learn,MultiClass,28,1.1911460127941818,0.012733990321533328
learn,MultiClass,29,1.1863461096107861,0.013435726762330503
learn,MultiClass,30,1.1813717830511123,0.013017910824221095
learn,MultiClass,31,1.1769933150864167,0.013774806234844734
learn,MultiClass,32,1.1722170570838668,0.013425694250483901
learn,MultiClass,33,1.167597025928645,0.013528978103917453
learn,MultiClass,34,1.1627155399866873,0.013509791545712298
learn,MultiClass,35,1.1577965142733002,0.013828061755985737
learn,MultiClass,36,1.152721414369066,0.01447388137545492
learn,MultiClass,37,1.1486161434027138,0.01505048289951767
learn,MultiClass,38,1.1440349572003248,0.01575175003561492
learn,MultiClass,39,1.1395838023594773,0.016828905889938777
learn,MultiClass,40,1.135821500481592,0.017107789322083695
learn,MultiClass,41,1.132023556670558,0.01708702855818004
learn,MultiClass,42,1.128428534586715,0.018147367955087302
learn,MultiClass,43,1.125096309914156,0.018579047249762542
learn,MultiClass,44,1.1212786292083714,0.018384455264329972
learn,MultiClass,45,1.117571837520936,0.019289232808314585
learn,MultiClass,46,1.1141757532360403,0.01904191297582263
learn,MultiClass,47,1.1105789795473457,0.01930476498387253
learn,MultiClass,48,1.1066690037746425,0.019947667718640722
learn,MultiClass,49,1.1037299950258823,0.02048829354911464
learn,MultiClass,50,1.1004270363611177,0.02063007378860837
learn,MultiClass,51,1.0970868858016676,0.02057026656030244
learn,MultiClass,52,1.0934254227793283,0.020853783659467905
learn,MultiClass,53,1.090762300667608,0.02180393395850545
learn,MultiClass,54,1.0875145159158488,0.0218052905547945
learn,MultiClass,55,1.0840813074661488,0.02213573183098621
learn,MultiClass,56,1.0814632303497365,0.022942242689289235
learn,MultiClass,57,1.0784737748973416,0.023634071455127314
learn,MultiClass,58,1.0748297939776414,0.024256062601461195
learn,MultiClass,59,1.0721255918761698,0.024367295584102895
learn,MultiClass,60,1.069901592844221,0.024998368338898944
learn,MultiClass,61,1.067182182649426,0.025337043221732688
learn,MultiClass,62,1.0642218852935643,0.024850837636744526
learn,MultiClass,63,1.0619835659375911,0.025752108475757637
learn,MultiClass,64,1.0595145417307428,0.026302980361396423
learn,MultiClass,65,1.056338607857541,0.026169823523707447
learn,MultiClass,66,1.0532598448908908,0.025878625738771522
learn,MultiClass,67,1.0504690896777864,0.0259907161124532
learn,MultiClass,68,1.047340066950461,0.025806453907035128
learn,MultiClass,69,1.0446001921416395,0.025690755912792296
learn,MultiClass,70,1.0422946370826955,0.025634808937101246
learn,MultiClass,71,1.0396842450731922,0.025293692859336848
learn,MultiClass,72,1.036737828218913,0.025034070893048776
learn,MultiClass,73,1.0341404627466264,0.026190136639137253
learn,MultiClass,74,1.0315403264976073,0.02715332929993135
learn,MultiClass,75,1.0291622259087871,0.027555639342776907
learn,MultiClass,76,1.0268741818026148,0.027780595451849282
learn,MultiClass,77,1.024517957583801,0.027986607863024593
learn,MultiClass,78,1.0221996370646447,0.028291644869826108
learn,MultiClass,79,1.020030282328417,0.02834642801409583
learn,MultiClass,80,1.0179899449630485,0.027990572399130692
learn,MultiClass,81,1.0160607407452726,0.02816510479003476
learn,MultiClass,82,1.0138246585092368,0.02781397326378624
learn,MultiClass,83,1.0117538975034266,0.028364260459180307
learn,MultiClass,84,1.010247534562187,0.029111398987319348
learn,MultiClass,85,1.0079185873707206,0.029785124477846175
learn,MultiClass,86,1.006468918796791,0.029801317082654953
learn,MultiClass,87,1.0045816917074106,0.03041641434297432
learn,MultiClass,88,1.0026688713759553,0.030101416033643743
learn,MultiClass,89,1.000164602799849,0.030219018596250046
learn,MultiClass,90,0.9982518213208725,0.03030031882083597
learn,MultiClass,91,0.9967647300321921,0.03066763241883925
learn,MultiClass,92,0.9946782385252377,0.03120194347074042
