fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,574,1804,192,0.7264808362369338,0.5244695346513583,0.7545765859837065,0.4765175183683471,0.6631549455316688,0.71875,0.49850119904076734,0.7444169664268584,0.4812799135402192,0.5487306843267108,0.71875,0.49850119904076734,0.7444169664268584,0.4812799135402192,0.5487306843267108
2,574,1804,192,0.681184668989547,0.4472606466057608,0.7040251087147026,0.40889285006932063,0.5549367858487688,0.703125,0.4918636721828211,0.7250217526924088,0.4448600366812916,0.7478570284127324,0.703125,0.4918636721828211,0.7250217526924088,0.4448600366812916,0.7478570284127324
3,575,1808,191,0.7443478260869565,0.5455892074781752,0.7733218634893879,0.49261018149590285,0.7081803705144414,0.6335078534031413,0.398249544573074,0.6713363938186852,0.37348401776413176,0.4835023041474654,0.6335078534031413,0.398249544573074,0.6713363938186852,0.37348401776413176,0.4835023041474654
4,575,1808,191,0.7739130434782608,0.5769431491298499,0.789933354956373,0.550104177234691,0.6206593882262409,0.675392670157068,0.36739556085845837,0.6941598045144565,0.3565549512078068,0.39041666666666663,0.675392670157068,0.36739556085845837,0.6941598045144565,0.3565549512078068,0.39041666666666663
